carpetArea,areaUnit,price,status,latitude,longitude,locality,propertyName,floors,bedRoom
650,sq.ft.,5600000,Ready to move,19.159614,73.071246,Dombivli East,Siddharth Riverwood Park,18,1
460,sq.ft.,3600000,Ready to move,19.159614,73.071246,Dombivli East,Siddharth Riverwood Park,18,2
395.07,sq.ft.,14372885.5,Under Construction,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
593.42,sq.ft.,16818710.5,Under Construction,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
734,sq.ft.,5750000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,2
716,sq.ft.,5200000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Palava Lakeshore Green,18,1
642,sq.ft.,4300000,Ready to move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,1
1345.5,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,32,1
871,sq.ft.,8000000,Ready to move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,32,2
384,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,32,3
524,sq.ft.,price on req,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,19,1
704,sq.ft.,price on req,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,18,2
406.85,sq.ft.,4741049,Ready To Move,19.179273,73.075743,Dombivli East,Runwal My City,18,3
580.265,sq.ft.,6803589,Ready To Move,19.1738592,73.0689877,Dombivli East,Lodha Casa Bella Majestica,18,3
528,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,8,1
693,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,8,2
893,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,7,3
704,sq.ft.,price on req,Ready To Move,19.21019,73.094981,Dombivli East,Ganraj Eknath Residency,23,1
449,sq.ft.,3100000,Ready to move,19.153784,73.077967,Nilje Gaon,Lodha Casa Rio Gold,7,1
1033,sq.ft.,6400000,Ready to move,19.153784,73.077967,Nilje Gaon,Lodha Casa Rio Gold,7,2
400,sq.ft.,2790000,Ready to move,19.207707,73.111643,Dombivli East,Regency Anantam,7,2
873,sq.ft.,price on req,Ready To Move,19.20697,73.096559,Dombivli East,on request,7,1
936,sq.ft.,price on req,Ready To Move,19.20697,73.096559,Dombivli East,on request,7,2
778,sq.ft.,8800000,Ready to move,19.212744,73.08714,Dombivli East,mandar towe,8,2
525,sq.ft.,6500000,Ready to move,19.212744,73.08714,Dombivli East,nirmal chs.,8,2
670,sq.ft.,8000000,Ready to move,19.21268,73.08705,Dombivli East,Sneh bandhan chs,8,2
870,sq.ft.,10500000,Ready to move,19.174429,73.069306,Dombivli East,Lodha Casa Bella,32,2
700,sq.ft.,11500000,Ready to move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,32,1
750,sq.ft.,10200000,Ready to move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,32,1
578,sq.ft.,4300000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,6,1
450,sq.ft.,3400000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,10,2
384,sq.ft.,3400000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,4,3
406.85,sq.ft.,4741049,Ready To Move,19.215845,73.0884,Dombivli East,sneha chs.,4,1
580.265,sq.ft.,6803589,Ready To Move,19.210377,73.09031,Dombivli East,bhagawati chs.,4,1
760.97,sq.ft.,9546755.5,Ready To Move,19.210377,73.09031,Dombivli East,vinayak smruti chs.,16,1
470,sq.ft.,4500000,Ready to move,19.213488,73.08937,Dombivli East,shundaram chs.,18,1
470,sq.ft.,5000000,Ready to move,19.213669,73.091064,Dombivli East,guru mauli chs.,18,2
430,sq.ft.,3700000,Ready to move,19.20998072,73.09981942,Azde Gaon,Globe Paradise,17,2
500,sq.ft.,5000000,Ready to move,19.1720153,73.1138064,Dombivli East,Lodha Lakeshore Greens,18,2
520,sq.ft.,5000000,Ready to move,19.1685872,73.1124091,Dombivli East,Lodha Lakeshore Greens,18,2
800,sq.ft.,12000000,Ready to move,19.1714035,73.1126488,Dombivli East,Lodha Lakeshore Greens,15,2
638,sq.ft.,4300000,Ready to move,19.172472,73.11367,Dombivli East,Lodha Lakeshore Greens Primia,15,2
638,sq.ft.,4400000,Ready to move,19.162954,73.083056,Dombivli East,Lodha Palava Downtown,18,1
702,sq.ft.,5000000,Ready to move,19.162954,73.083056,Dombivli East,Lodha Palava Downtown,18,2
470.49,sq.ft.,4363752,Under Construction,19.162954,73.083056,Dombivli East,Lodha Palava Downtown,18,3
448,sq.ft.,3150000,Ready to move,19.20697,73.096559,Dombivli East,Lodha Lakeshore Greens,18,3
851,sq.ft.,7200000,Ready to move,19.172304,73.11123,Dombivli East,Lodha Lakeshore Greens A,18,1
500,sq.ft.,3325000,Ready to move,19.179273,73.075743,Dombivli East,Runwal My City,25,2
560,sq.ft.,4900000,Ready to move,19.1709618,73.1116417,Dombivli East,Lodha Lakeshore Greens,18,2
638,sq.ft.,4475000,Ready to move,19.1717957,73.1128445,Dombivli East,Lodha Lakeshore Greens,18,1
500,sq.ft.,3475000,Ready to move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,1
778.5,sq.ft.,5233077,Ready To Move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,2
1026,sq.ft.,6035958,Ready To Move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,3
1345.5,sq.ft.,price on req,Ready To Move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,1
893,sq.ft.,price on req,Ready To Move,19.17099,73.113277,Dombivli East,Lodha Lakeshore Greens,18,1
893,sq.ft.,price on req,Ready To Move,19.168341,73.073962,Dombivli East,Lodha Palava City,14,1
490,sq.ft.,5831033.5,Ready To Move,19.168341,73.073962,Dombivli East,Lodha Palava City,14,2
703,sq.ft.,7641624.5,Ready To Move,19.168341,73.073962,Dombivli East,Lodha Palava City,14,3
